x,y,score,ratio
aaron phillips,aaron riley,6,0.64
aaron phillips,ron stallings,7,0.5925925999999999
aaron phillips,aaron simpson,7,0.6666667
aaron phillips,jason miller,7,0.53846157
aaron phillips,aaron brink,7,0.56
aaron wilkinson,aaron simpson,5,0.71428573
aaron wilkinson,darren elkins,7,0.64285713
aaron wilkinson,damon jackson,7,0.5714286
aaron wilkinson,aaron riley,7,0.61538464
aaron wilkinson,chris wilson,7,0.5925925999999999
abdulkerim edilov,assuerio silva,9,0.58064514
abdulkerim edilov,andrei semenov,10,0.516129
abdulkerim edilov,andre ewell,11,0.42857143
abdulkerim edilov,lucie pudilova,11,0.516129
abdulkerim edilov,alexis davis,11,0.4827585999999999
abu azaitar,al iaquinta,7,0.54545456
abu azaitar,matt wiman,8,0.3809524
abu azaitar,calvin kattar,8,0.5
abu azaitar,nate diaz,8,0.4
abu azaitar,alex white,8,0.3809524
adam cella,dan kelly,4,0.6315789
adam cella,andre ewell,6,0.5714286
adam cella,chas skelly,6,0.47619048
adam cella,ryan hall,6,0.42105263
adam cella,sam sicilia,6,0.5714286
adam milstead,dan miller,6,0.6086956
adam milstead,jim miller,7,0.5217391
adam milstead,dean lister,7,0.5833333
adam milstead,pat miletich,7,0.48
adam milstead,bob gilstrap,7,0.48
adam wieczorek,dan hooker,9,0.41666666
adam wieczorek,oskar piechota,9,0.42857143
adam wieczorek,alex caceres,9,0.3846154000000001
adam wieczorek,dan ige,9,0.47619048
adam wieczorek,alex perez,9,0.41666666
adam yandiev,sam alvey,7,0.47619048
adam yandiev,chad mendes,7,0.5217391
adam yandiev,alan patrick,7,0.41666666
adam yandiev,ryan janes,7,0.45454547
adam yandiev,ryan bader,7,0.45454547
aisling daly,jason day,6,0.6666667
aisling daly,aspen ladd,7,0.45454547
aisling daly,nicolas dalby,7,0.56
aisling daly,li jingliang,7,0.41666666
aisling daly,justin salas,7,0.5
akihiro gono,alex morono,7,0.4347826
akihiro gono,takanori gomi,7,0.48
akihiro gono,rob font,8,0.5
akihiro gono,cat zingano,8,0.4347826
akihiro gono,alberto mina,8,0.41666666
alan omer,allan goes,4,0.7368420999999999
alan omer,dan hooker,5,0.6315789
alan omer,dan ige,5,0.5
alan omer,alan jouban,5,0.6
alan omer,ryan bader,5,0.5263158
albert cheng,alberto crane,4,0.72
albert cheng,alberto mina,5,0.6666667
albert cheng,albert tumenov,5,0.6923077
albert cheng,gilbert burns,6,0.56
albert cheng,gilbert yvel,6,0.5833333
albert morales,alberto crane,5,0.7407406999999999
albert morales,alberto mina,6,0.6923077
albert morales,sergio moraes,7,0.6666667
albert morales,alex morono,7,0.56
albert morales,gilbert burns,7,0.5925925999999999
alberta cerra leon,alberto crane,7,0.7096774
alberta cerra leon,roberto traven,9,0.5625
alberta cerra leon,alexa grasso,10,0.53333336
alberta cerra leon,alvaro herrera,10,0.5
alberta cerra leon,alberto mina,10,0.53333336
alberto uda,alberto mina,3,0.7826086999999999
alberto uda,alberto crane,4,0.75
alberto uda,gilbert burns,7,0.5833333
alberto uda,alan jouban,7,0.45454547
alberto uda,albert tumenov,7,0.64
aleksandar rakic,alex andrade,8,0.5714286
aleksandar rakic,alejandro perez,9,0.58064514
aleksandar rakic,ulka sasaki,9,0.5185185
aleksandar rakic,gokhan saki,9,0.5185185
aleksandar rakic,alexandre dantas,9,0.5625
aleksei kunchenko,alexey kunchenko,3,0.8484849
aleksei kunchenko,andrew sanchez,10,0.4516129
aleksei kunchenko,alessio di chirico,10,0.51428574
aleksei kunchenko,valentina shevchenko,10,0.5945946
