Fighter Name,Location,Elevation
Jairzinho Rozenstruik,"Pompano Beach, Florida",4 m
Alistair Overeem,"Amsterdam, Netherlands",2 m
Marina Rodriguez,"Florianópolis, Brazil",3 m
Cynthia Calvillo,"Sacramento, California, USAA",9 m
Ben Rothwell,"Kenosha, Wisconsin, United States",184 m
Stefan Struve,"Beverwijk, Netherlands",2 m
Aspen Ladd,"Folsom, California, United States",67 m
Cody Stamann,"Sparta, Michigan, United States (formerly)",243 m
Song Yadong,"Sacramento, California, United States",9 m
Rob Font,"Woburn, Massachusetts",30 m
Ricky Simon,"Vancouver, Washington, United States",52 m
Tim Means,"Albuquerque, New Mexico, United States",1619.1 m
Thiago Alves,"Coconut Creek, Florida, United States",4 m
Matt Wiman,"Dallas, Texas ",131 m
Mallory Martin,"Denver, Colorado, United States",1734 m
Trevor Smith,"Tukwila, Washington, United States",42 m
Jan Błachowicz,"Warszawa, Poland",116 m
Ronaldo Souza,"Manaus, Amazonas, Brazil",92 m
Maurício Rua,"Curitiba, Brazil",934.6 m
Charles Oliveira,"São Paulo, Brazil",760 m
Markus Perez,"Sao Paulo, Brazil",760 m
James Krause,"Lee's Summit, Missouri, USA",316 m
Sérgio Moraes,"São Paulo, São Paulo, Brazil",760 m
Ricardo Ramos,"Campinas, Sao Paulo, Brazil",780 m
Francisco Trinaldo,"Brasília, Distrito Federal, Brazil",1172 m
Bobby Green,"Fontana, California, United States",377 m
Warlley Alves,"Rio de Janeiro, Rio de Janeiro, Brazil",1020 m
Douglas Silva de Andrade,"Castanhal, Pará, Brazil",141 m
Renan Barão,"Rio de Janeiro, Brazil",1020 m
Ariane Lipski,"Curitiba, Parana, Brazil",934.6 m
Tracy Cortez,"Phoenix, Arizona, United States",331 m
Zabit Magomedsharipov,"Khasavyurt, Dagestan, Russia",130 m
Calvin Kattar,"Methuen, Massachusetts, United States",35 m
Greg Hardy,"Millington, Tennessee",80 m
Danny Roberts,"Liverpool, England, United Kingdom",70 m
Ed Herman,"Portland, Oregon, United States",15.2 m
Anthony Rocco Martin,"Boston, Massachusetts, United States",43 m
Ramazan Emeev,"Makhachkala, Dagestan, Russia",10 m
Shamil Gamzatov,"Makhachkala, Dagestan, Russia ",10 m
Magomed Ankalaev,"Makhachkala, Dagestan, Russia",10 m
Rustam Khabilov,"Derbent, Dagestan, Russia",0 m
Karl Roberson,"Neptune, New Jersey, United States",7 m
David Zawada,"Dusseldorf, Germany",38 m
Abubakar Nurmagomedov,"Makhachkala, Dagestan, Russia ",10 m
Roosevelt Roberts,"Lathrop, California, United States",7 m
Jorge Masvidal,"Miami, Florida, United States",2 m
Nate Diaz,"Stockton, California, USA",4 m
Darren Till,"Liverpool, Merseyside, England",70 m
Kelvin Gastelum,"Yuma, Arizona, United States",43 m
