,round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,flatten_layer,kernel_size,last_activation,losses,lr,num_filters,optimizer
253,10,0.6920754089250833,0.5987460613250732,0.6227633281673551,0.6641255617141724,<function relu at 0x13c0421e0>,128,0.25,10,150,1,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,128,<class 'keras.optimizers.Adam'>
93,5,0.6851969695141074,0.5914315581321716,0.6340251478913653,0.6408071517944336,<function relu at 0x13c0421e0>,64,0.25,5,150,3,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,128,<class 'keras.optimizers.Adam'>
218,5,0.6811999435708814,0.5903866291046143,0.6521995350384392,0.6147981882095337,<function relu at 0x13c0421e0>,128,0.25,5,100,1,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
88,5,0.6785912304462683,0.5882967710494995,0.652726165542688,0.6206278204917908,<function relu at 0x13c0421e0>,64,0.25,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,64,<class 'keras.optimizers.Adam'>
216,5,0.6806677808457656,0.5882967710494995,0.6799614056878026,0.573542594909668,<function relu at 0x13c0421e0>,128,0.25,5,100,1,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,64,<class 'keras.optimizers.Adam'>
241,10,0.6931190747327814,0.5872518420219421,0.6393113596556967,0.6327354311943054,<function relu at 0x13c0421e0>,128,0.25,10,100,1,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,128,<class 'keras.optimizers.Adam'>
173,10,0.701639754146867,0.5872518420219421,0.5518463530348021,0.7645739912986755,<function relu at 0x13c0421e0>,128,0.0,10,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,128,<class 'keras.optimizers.Adam'>
92,5,0.6718328073231529,0.5862069129943848,0.6589895575570419,0.6071748733520508,<function relu at 0x13c0421e0>,64,0.25,5,150,3,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,64,<class 'keras.optimizers.Adam'>
262,10,0.7421439834398411,0.5851619839668274,0.5388762308877679,0.7354260087013245,<function relu at 0x13c0421e0>,128,0.25,10,150,3,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.6000000000000001,64,<class 'keras.optimizers.Adam'>
220,5,0.6755314961371626,0.5830721259117126,0.6675357803635533,0.5780268907546997,<function relu at 0x13c0421e0>,128,0.25,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.2,64,<class 'keras.optimizers.Adam'>
