,round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
119,10,0.6961337735859574,0.5963777303695679,0.6789273640478709,0.6245146989822388,<function relu at 0x1370a5d90>,256,0.16666666666666666,10,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
7,10,0.7375078878304011,0.5937904119491577,0.602896081429353,0.7071547508239746,<function relu at 0x1370a5d90>,64,0.0,10,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,25,0.7787118665922197,0.5912030935287476,0.4309493882485515,0.8291736245155334,<function relu at 0x1370a5d90>,64,0.0,25,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
3,10,0.7472391578851973,0.5899094343185425,0.49286637968046426,0.7748197317123413,<function relu at 0x1370a5d90>,64,0.0,10,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
26,25,0.7202055044038483,0.5886157751083374,0.5594116503572173,0.6877426505088806,<function relu at 0x1370a5d90>,64,0.16666666666666666,25,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
56,25,0.7194906146220988,0.5873221158981323,0.6317994455066709,0.6705490946769714,<function relu at 0x1370a5d90>,128,0.0,25,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
14,25,0.8717370455817139,0.5873221158981323,0.35924638030070166,0.89961177110672,<function relu at 0x1370a5d90>,64,0.0,25,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
110,25,0.7343407469918471,0.5860284566879272,0.4330273124983889,0.8247365355491638,<function relu at 0x1370a5d90>,256,0.0,25,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
126,25,0.7020025186211758,0.582147479057312,0.6831131675345198,0.6161952018737793,<function relu at 0x1370a5d90>,256,0.16666666666666666,25,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
69,10,0.7015252377823439,0.5808538198471069,0.6712444032554288,0.6200776696205139,<function relu at 0x1370a5d90>,128,0.16666666666666666,10,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
