,round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes,precision,recall,fbeta_score,support
41,25,0.83989402411998,0.6034482717514038,0.4556582644728749,0.7953649163246155,<function relu at 0x7fbc08d68620>,64,0.1,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6246418338108882,0.8400770712909441,0.7165160230073953,
62,25,0.7745317981160921,0.5988505482673645,0.5916468753852318,0.6765285730361938,<function relu at 0x7fbc08d68620>,128,0.01,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6106770833333334,0.9036608863198459,0.7288267288267288,
8,10,0.6767359456796755,0.5988505482673645,0.6725346393133762,0.591222882270813,<function relu at 0x7fbc08d68620>,64,0.01,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.5995316159250585,0.9865125240847784,0.7458120903131829,
104,10,0.7863238033206984,0.5965517163276672,0.588365972394774,0.5714989900588989,<function relu at 0x7fbc08d68620>,256,0.01,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
114,25,0.6884721580593065,0.5965517163276672,0.6888056507947647,0.5714989900588989,<function relu at 0x7fbc08d68620>,256,0.01,25,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
24,10,0.6885379080114693,0.5965517163276672,0.6972299575570537,0.5714989900588989,<function relu at 0x7fbc08d68620>,64,0.1,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
25,10,0.7338072183488429,0.5965517163276672,0.6000316201817589,0.5714989900588989,<function relu at 0x7fbc08d68620>,64,0.1,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
73,10,0.7284274912428582,0.5965517163276672,0.6331097235576171,0.5714989900588989,<function relu at 0x7fbc08d68620>,128,0.1,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
97,10,0.7671473511334124,0.5965517163276672,0.5982250166832813,0.5714989900588989,<function relu at 0x7fbc08d68620>,256,0.01,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
98,10,0.7774524407825251,0.5965517163276672,0.598891923060784,0.5714989900588989,<function relu at 0x7fbc08d68620>,256,0.01,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
30,10,0.6833497679096528,0.5965517163276672,0.6809678672568568,0.5714989900588989,<function relu at 0x7fbc08d68620>,64,0.1,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
56,10,0.6791944403757995,0.5965517163276672,0.6832090742019037,0.5724852085113525,<function relu at 0x7fbc08d68620>,128,0.01,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
35,10,0.6770503145524825,0.5965517163276672,0.6832051725077206,0.5714989900588989,<function relu at 0x7fbc08d68620>,64,0.1,10,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
96,10,0.6906896033506283,0.5965517163276672,0.6895781449782543,0.5714989900588989,<function relu at 0x7fbc08d68620>,256,0.01,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
49,10,0.7706542644007452,0.5965517163276672,0.5877876053665282,0.5714989900588989,<function relu at 0x7fbc08d68620>,128,0.01,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
107,10,0.755159890788725,0.5965517163276672,0.533950421466865,0.5714989900588989,<function relu at 0x7fbc08d68620>,256,0.01,10,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
48,10,0.6844370247303755,0.5965517163276672,0.6907396222477599,0.5714989900588989,<function relu at 0x7fbc08d68620>,128,0.01,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
80,10,0.6965042236207546,0.5965517163276672,0.6720548628349982,0.5872781276702881,<function relu at 0x7fbc08d68620>,128,0.1,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.5995260663507109,0.9749518304431599,0.7424798239178283,
86,25,0.805503938663965,0.5965517163276672,0.6058075699580492,0.5714989900588989,<function relu at 0x7fbc08d68620>,128,0.1,25,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
43,25,0.8001031513871818,0.5965517163276672,0.6178824071583193,0.5714989900588989,<function relu at 0x7fbc08d68620>,64,0.1,25,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
44,25,0.7627394920107962,0.5965517163276672,0.6345926036496135,0.5714989900588989,<function relu at 0x7fbc08d68620>,64,0.1,25,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
47,25,0.6757121993207383,0.5965517163276672,0.6829459348608992,0.5714989900588989,<function relu at 0x7fbc08d68620>,64,0.1,25,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
74,10,0.7405724641920506,0.5965517163276672,0.6589488034417643,0.5714989900588989,<function relu at 0x7fbc08d68620>,128,0.1,10,128,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
21,25,0.6725002351848558,0.5965517163276672,0.6716499895268878,0.5714989900588989,<function relu at 0x7fbc08d68620>,64,0.01,25,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.596551724137931,1.0,0.7473002159827213,
