round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
10,0.6953641773812367,0.5679172277450562,0.664178119357665,0.6278425,<function relu at 0x1370a5d90>,64,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.7532035977535075,0.54463130235672,0.5495808653479739,0.6855241,<function relu at 0x1370a5d90>,64,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,0.7185453166474346,0.5640362501144409,0.5608466032869738,0.6699945,<function relu at 0x1370a5d90>,64,0.0,10,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.7472391578851973,0.5899094343185425,0.49286637968046426,0.77481973,<function relu at 0x1370a5d90>,64,0.0,10,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,0.7154504108552329,0.5692108869552612,0.5914986706811457,0.5851359,<function relu at 0x1370a5d90>,64,0.0,10,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.7241435626191587,0.5808538198471069,0.557796854709693,0.71491957,<function relu at 0x1370a5d90>,64,0.0,10,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,0.703081820791474,0.5717982053756714,0.5604190043092634,0.67997783,<function relu at 0x1370a5d90>,64,0.0,10,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.7375078878304011,0.5937904119491577,0.602896081429353,0.70715475,<function relu at 0x1370a5d90>,64,0.0,10,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,0.7282385013390328,0.5730918645858765,0.5985906897024915,0.7199113,<function relu at 0x1370a5d90>,64,0.0,25,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.9335999276011913,0.5485122799873352,0.3827716705290662,0.85246813,<function relu at 0x1370a5d90>,64,0.0,25,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,0.7787118665922197,0.5912030935287476,0.4309493882485515,0.8291736,<function relu at 0x1370a5d90>,64,0.0,25,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,1.0875548940118196,0.545924961566925,0.2653177265187336,0.9611758,<function relu at 0x1370a5d90>,64,0.0,25,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,0.7459278599410902,0.545924961566925,0.5659805283041313,0.7831392,<function relu at 0x1370a5d90>,64,0.0,25,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.9170808767439631,0.5265200734138489,0.4862360306005642,0.71935666,<function relu at 0x1370a5d90>,64,0.0,25,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
