round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,flatten_layer,kernel_size,last_activation,losses,lr,optimizer,shapes
10,23.11388302712977,0.44890040159225464,24.245108673193027,0.5291181,<function relu at 0x1370a5d90>,64,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,34.32688265722751,0.40232858061790466,17.670703025771324,0.5485302,<function relu at 0x1370a5d90>,64,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,25.715517046534845,0.5873221158981323,20.13910150078357,0.53410983,<function relu at 0x1370a5d90>,64,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,20.0398373276882,0.5562742352485657,18.25133791990698,0.572934,<function relu at 0x1370a5d90>,64,0.0,10,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
10,18.708943059805293,0.5498059391975403,21.15301076981073,0.5640599,<function relu at 0x1370a5d90>,64,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
10,29.230769126566386,0.5627425909042358,23.418493106903398,0.5629506,<function relu at 0x1370a5d90>,64,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,16.090605581562393,0.5588615536689758,14.310062177830515,0.56184137,<function relu at 0x1370a5d90>,64,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
10,13.43690757763802,0.47218629717826843,8.636433023250705,0.56849694,<function relu at 0x1370a5d90>,64,0.0,10,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,11.13467532326919,0.5536869168281555,7.987769341376247,0.59900165,<function relu at 0x1370a5d90>,64,0.0,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
25,14.250105664153303,0.5213454365730286,9.639856383857367,0.62007767,<function relu at 0x1370a5d90>,64,0.0,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,13.166261053640506,0.45536869764328003,15.243998691233012,0.583472,<function relu at 0x1370a5d90>,64,0.0,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
25,9.00366302110245,0.5135834217071533,8.572221582225476,0.5790349,<function relu at 0x1370a5d90>,64,0.0,25,64,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,funnel
25,17.18073280107466,0.44243207573890686,10.759112339051512,0.6095396,<function relu at 0x1370a5d90>,64,0.0,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
25,16.2592310627867,0.5265200734138489,12.832846244969636,0.604548,<function relu at 0x1370a5d90>,64,0.0,25,128,100,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,funnel
