round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,flatten_layer,kernel_size,last_activation,losses,lr,num_filters,optimizer
5,0.7133595153263637,0.4828571379184723,0.6968543028655744,0.507371,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
5,0.6966658677373614,0.5142857432365417,0.6858290041400994,0.5737101,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
5,0.6822590058190482,0.5400000214576721,0.6510947490207101,0.61916465,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
5,0.6853170336995806,0.5771428346633911,0.6202429907913583,0.6867322,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
5,0.7715796102796282,0.5400000214576721,0.47323263504288415,0.8034398,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,64,<class 'keras.optimizers.Adam'>
5,0.8888622379302978,0.5257142782211304,0.43633126106836284,0.8316953,<function relu at 0x13c0421e0>,64,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,128,<class 'keras.optimizers.Adam'>
5,0.7584786874907358,0.45428571105003357,0.7614122744860169,0.47542998,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
5,0.6993432188034058,0.5142857432365417,0.7173601394789225,0.507371,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
5,0.7012935301235744,0.5257142782211304,0.6587692833063936,0.6068796,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
5,0.6851633102553232,0.5714285969734192,0.6092827916145325,0.6941032,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
