round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer
1,50.99206715506076,0.49288487434387207,91.67978183494564,0.5163616,<function relu at 0x1370a5d90>,32,0.0,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,121.68721450470089,0.529107391834259,118.39629540255648,0.50637823,<function relu at 0x1370a5d90>,32,0.0,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,76.67206305982533,0.5071151256561279,114.71426174102461,0.52412647,<function relu at 0x1370a5d90>,32,0.0,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,106.54439968094326,0.4514877200126648,175.62338768054033,0.4997227,<function relu at 0x1370a5d90>,32,0.0,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,61.00583226252034,0.5562742352485657,158.72314483380225,0.49861342,<function relu at 0x1370a5d90>,32,0.0,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,122.61028233536773,0.4476067125797272,191.2409409508729,0.5091514,<function relu at 0x1370a5d90>,32,0.0,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,101.32035293153464,0.4514877200126648,143.12681017646642,0.5463117,<function relu at 0x1370a5d90>,32,0.0,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,113.42058561258452,0.5666235685348511,190.98503769098622,0.5019412,<function relu at 0x1370a5d90>,32,0.0,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,74.62500995867927,0.545924961566925,135.3353761661337,0.52689964,<function relu at 0x1370a5d90>,32,0.0,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,125.14578258914133,0.45536869764328003,151.5821280497944,0.5102607,<function relu at 0x1370a5d90>,32,0.0,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,103.28656783603604,0.43208280205726624,118.8371218397296,0.5352191,<function relu at 0x1370a5d90>,32,0.0,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,155.0963872931753,0.44372573494911194,185.132929454429,0.515807,<function relu at 0x1370a5d90>,32,0.0,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,71.11238051694546,0.5342820286750793,157.0873293546062,0.5213533,<function relu at 0x1370a5d90>,32,0.0,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,92.39507074343742,0.527813732624054,204.19739639527654,0.51469773,<function relu at 0x1370a5d90>,32,0.0,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,52.120597192880254,0.4864165484905243,152.37941354761108,0.50083196,<function relu at 0x1370a5d90>,32,0.0,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,181.86599774872656,0.5730918645858765,204.38120923542144,0.5019412,<function relu at 0x1370a5d90>,32,0.0,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,78.28383817092876,0.5161707401275635,235.33936476112405,0.5174709,<function relu at 0x1370a5d90>,32,0.0,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,230.00090095944424,0.43208280205726624,186.19137815072415,0.50305045,<function relu at 0x1370a5d90>,32,0.0,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,78.7475879762953,0.48771020770072937,198.83978894890114,0.5019412,<function relu at 0x1370a5d90>,32,0.0,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,80.82018231667028,0.529107391834259,185.22011223516395,0.4980588,<function relu at 0x1370a5d90>,32,0.0,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,66.2413653710527,0.5200517177581787,180.6220403534799,0.5124792,<function relu at 0x1370a5d90>,32,0.0,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,64.11235928751364,0.5355756878852844,132.2227031688722,0.51192456,<function relu at 0x1370a5d90>,32,0.0,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,79.03667379875232,0.49417853355407715,253.30585265199278,0.4858569,<function relu at 0x1370a5d90>,32,0.0,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,142.609768333287,0.5536869168281555,188.98988783207457,0.49916804,<function relu at 0x1370a5d90>,32,0.0,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,167.0634922358228,0.5705045461654663,338.25581638295984,0.5135885,<function relu at 0x1370a5d90>,32,0.1,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,131.9704510884945,0.561448872089386,309.5217768901332,0.50748754,<function relu at 0x1370a5d90>,32,0.1,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,166.30523213809707,0.5575678944587708,321.38750573283625,0.50415975,<function relu at 0x1370a5d90>,32,0.1,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,86.76816013035152,0.508408784866333,304.7623953520425,0.50804216,<function relu at 0x1370a5d90>,32,0.1,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,79.31014847847962,0.5239327549934387,278.9801740937278,0.51192456,<function relu at 0x1370a5d90>,32,0.1,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,178.31001327139595,0.5575678944587708,411.0202916928681,0.5130338,<function relu at 0x1370a5d90>,32,0.1,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,73.1230659830308,0.5213454365730286,347.53385451364966,0.5135885,<function relu at 0x1370a5d90>,32,0.1,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,223.60172479982364,0.5485122799873352,298.06285732055596,0.52412647,<function relu at 0x1370a5d90>,32,0.1,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,76.08308164885251,0.48900386691093445,332.94173398813933,0.52246255,<function relu at 0x1370a5d90>,32,0.1,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,89.82175072476286,0.47736093401908875,310.0666982404272,0.5102607,<function relu at 0x1370a5d90>,32,0.1,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,130.04529881940005,0.5498059391975403,377.9171606265897,0.48863006,<function relu at 0x1370a5d90>,32,0.1,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,85.88983577713466,0.5575678944587708,311.4081108698366,0.515807,<function relu at 0x1370a5d90>,32,0.1,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,132.1551385561214,0.5562742352485657,298.3099082824064,0.5196894,<function relu at 0x1370a5d90>,32,0.1,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,136.66156963234886,0.5510995984077454,295.81578239995247,0.4980588,<function relu at 0x1370a5d90>,32,0.1,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,112.32086111564685,0.5329883694648743,326.963383273158,0.53133667,<function relu at 0x1370a5d90>,32,0.1,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,314.8723823971767,0.5756791830062866,291.26249130342114,0.5252357,<function relu at 0x1370a5d90>,32,0.1,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,107.22793924546335,0.4243208169937134,304.62723064369715,0.50637823,<function relu at 0x1370a5d90>,32,0.1,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,178.53988822157294,0.4501940608024597,278.76634139295294,0.515807,<function relu at 0x1370a5d90>,32,0.1,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,112.7317948729995,0.508408784866333,504.9263720181804,0.49362174,<function relu at 0x1370a5d90>,32,0.1,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,93.30091635838517,0.5368693470954895,372.16907821545254,0.5108153,<function relu at 0x1370a5d90>,32,0.1,50,512,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,113.19783724726865,0.5420439839363098,299.0629173274577,0.52246255,<function relu at 0x1370a5d90>,32,0.1,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,89.86820821527677,0.4501940608024597,241.33775588557646,0.515807,<function relu at 0x1370a5d90>,32,0.1,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,234.08262040112336,0.5498059391975403,339.33873061160546,0.52357185,<function relu at 0x1370a5d90>,32,0.1,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,320.08068650259236,0.5679172277450562,247.1434044946384,0.5019412,<function relu at 0x1370a5d90>,32,0.1,50,512,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,103.63292089069954,0.5666235685348511,481.6033393237833,0.5219079,<function relu at 0x1370a5d90>,32,0.2,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,224.64306857761713,0.5640362501144409,379.56286038839346,0.4980588,<function relu at 0x1370a5d90>,32,0.2,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,147.61092271101583,0.5523932576179504,374.2713467327674,0.50027734,<function relu at 0x1370a5d90>,32,0.2,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,110.5242248352564,0.5006468296051025,348.1622720846387,0.5019412,<function relu at 0x1370a5d90>,32,0.2,50,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,89.6649217099761,0.5135834217071533,430.10664828909285,0.5091514,<function relu at 0x1370a5d90>,32,0.2,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
