round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
1,132.7532666935495,0.48771020770072937,257.1160013195679,0.50415975,<function relu at 0x1370a5d90>,64,0.0,10,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,101.0090545318722,0.5071151256561279,299.96717919525804,0.5135885,<function relu at 0x1370a5d90>,64,0.0,10,64,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,130.00825127407927,0.5109961032867432,224.0064881166616,0.551858,<function relu at 0x1370a5d90>,64,0.0,10,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,62.877457494106515,0.4618369936943054,115.26737501299917,0.5330005,<function relu at 0x1370a5d90>,64,0.0,10,64,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,210.37067289956946,0.5122897624969482,294.6127159385237,0.50637823,<function relu at 0x1370a5d90>,64,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,90.10793824584488,0.5006468296051025,252.05652837599905,0.50637823,<function relu at 0x1370a5d90>,64,0.0,10,128,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,58.27327404540384,0.5006468296051025,144.50660863824507,0.52579033,<function relu at 0x1370a5d90>,64,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,78.4162023082896,0.491591215133667,90.337829782377,0.5213533,<function relu at 0x1370a5d90>,64,0.0,10,128,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
1,131.0272599747079,0.5562742352485657,222.98978048738215,0.50415975,<function relu at 0x1370a5d90>,64,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.2,<class 'keras.optimizers.Adam'>,brick
1,100.94078721296896,0.5019404888153076,285.70845668155886,0.49750414,<function relu at 0x1370a5d90>,64,0.0,10,256,0,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.6000000000000001,<class 'keras.optimizers.Adam'>,brick
