round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes
10,0.6821236208542106,0.6556701064109802,0.6841885434326928,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,10,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.8165623197850492,0.592783510684967,0.849402448753674,0.5999116,<function relu at 0x1342bcbf8>,64,0.0,10,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.7412731890825881,0.6556701064109802,0.6863535385443825,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,10,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.6855661908375849,0.6556701064109802,0.6856039710323121,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,10,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6792231167714621,0.6556701064109802,0.6788433382302443,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,15,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6818700641700902,0.6556701064109802,0.6816909434940834,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,15,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6786888969313238,0.6556701064109802,0.678512041438058,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,15,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6794683594064614,0.6556701064109802,0.6791232543957118,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,15,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.6717079895058858,0.6556701064109802,0.6707749875323314,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,25,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.6289011483339919,0.6556701064109802,0.6263870231141884,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,25,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.6717599473048731,0.6546391844749451,0.670738018792251,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,25,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.6726983506654955,0.6556701064109802,0.6718256488297494,0.66401416,<function relu at 0x1342bcbf8>,64,0.0,25,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.6873719054399078,0.6556701064109802,0.6880289282975842,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,10,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.6918856951379284,0.6525773406028748,0.691557305086829,0.6626879,<function relu at 0x1342bcbf8>,128,0.0,10,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.6879242461981233,0.6556701064109802,0.6879233099737597,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,10,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
10,0.6853826129559389,0.6556701064109802,0.685900542137372,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,10,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6937364422168928,0.6546391844749451,0.6879995425225991,0.66445625,<function relu at 0x1342bcbf8>,128,0.0,15,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6720116800868634,0.6556701064109802,0.6785356821895805,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,15,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6879583431273392,0.6556701064109802,0.6879405653866701,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,15,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
15,0.6874309104742463,0.6556701064109802,0.6873430703510551,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,15,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.7081430796495418,0.6536082625389099,0.6862059465348457,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,25,64,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.696009413114528,0.6546391844749451,0.6818044317917524,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,25,64,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.6847428881015974,0.6567010283470154,0.6845381205109344,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,25,128,1,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
25,0.6798734883672183,0.6556701064109802,0.6798062842573137,0.66401416,<function relu at 0x1342bcbf8>,128,0.0,25,128,2,<function sigmoid at 0x1342bcd08>,<function binary_crossentropy at 0x13426d598>,0.2,<class 'keras.optimizers.Adam'>,funnel
