winner,loser,method,how,round,event_name,date,venue,city,country,attendance,url
Royce Gracie,Gerard Gordeau,submission,rear naked choke,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
Royce Gracie,Ken Shamrock,submission,sleeve choke,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
Gerard Gordeau,Kevin Rosier,tko,corner stoppage,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
Ken Shamrock,Patrick Smith,submission,heel hook,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
Royce Gracie,Art Jimmerson,submission,mount,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
Kevin Rosier,Zane Frazier,tko,corner stoppage,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
Gerard Gordeau,Teila Tuli,tko,head kick,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
Jason DeLucia,Trent Jenkins,submission,rearnaked choke,,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,denver,usa,7800.0,https://en.wikipedia.org/wiki/UFC_1
Royce Gracie,Patrick Smith,submission,punches,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
Patrick Smith,Johnny Rhodes,submission,guillotine choke,,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,denver,usa,2000.0,https://en.wikipedia.org/wiki/UFC_2
