,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_KD,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_pct,B_longest_win_streak,B_losses,B_avg_opp_KD,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_pct,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_KD,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_pct,R_longest_win_streak,R_losses,R_avg_opp_KD,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_pct,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_body_off_success,R_body_off_success,B_clinch_off_success,R_clinch_off_success,B_distance_off_success,R_distance_off_success,B_ground_off_success,R_ground_off_success,B_head_off_success,R_head_off_success,B_leg_off_success,R_leg_off_success,B_sig_str_off_success,R_sig_str_off_success,B_td_off_success,R_td_off_success,B_total_landed_off_success,R_total_landed_off_success,B_body_def_success,R_body_def_success,B_clinch_def_success,R_clinch_def_success,B_distance_def_success,R_distance_def_success,B_ground_def_success,R_ground_def_success,B_head_def_success,R_head_def_success,B_leg_def_success,R_leg_def_success,B_sig_str_def_success,R_sig_str_def_success,B_td_def_success,R_td_def_success,B_total_landed_def_success,R_total_landed_def_success
0,Red,True,5,0.0,4.0,0.0,0.8,0.4,0.0,0.466,0.4,0.1,4.0,1.0,0.2,0.0,0.0,0.236,0.0,0.1,9.0,419.4,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,167.64,170.18,135.0,0.0,4.0,0.0,0.4,1.2,0.0,0.466,0.1,0.458,4.0,2.0,0.1,0.0,0.0,0.336,0.0,0.05,27.0,742.6,3.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,162.56,162.56,135.0,31.0,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6521739130434783,0.7488584474885844,0.0,0.6470588235294118,0.329073482428115,0.35333333333333333,0.7692307692307692,0.6914893617021276,0.23045267489711932,0.32210242587601073,0.7105263157894738,0.6981132075471699,0.345565749235474,0.4339250493096647,0.25,0.3584905660377358,0.35542168674698793,0.5319476520400307,0.625,0.6616541353383458,0.6,0.6799999999999999,0.33984374999999994,0.2961325966850829,0.33333333333333337,0.37499999999999994,0.23737373737373738,0.2273324572930355,0.7058823529411765,0.648936170212766,0.3446969696969697,0.3259109311740891,0.4,0.11111111111111112,0.35687732342007433,0.3918552036199095
1,Red,True,5,0.0,3.0,0.0,0.0,0.8,0.0,0.399,0.7,0.225,3.0,6.0,0.1,1.4,0.0,0.408,0.7,0.231,29.0,849.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,167.64,167.64,125.0,0.0,2.0,0.0,0.0,1.7142857142857142,0.14285714285714285,0.5757142857142856,0.42857142857142855,0.6014285714285714,2.0,2.0,0.0,1.1428571428571428,0.0,0.4371428571428572,0.2857142857142857,0.14714285714285716,25.0,1062.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,165.1,167.64,125.0,32.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.6232876712328766,0.6428571428571428,0.6186440677966101,0.7384615384615385,0.3376102646351243,0.41004862236628853,0.7916666666666666,0.8914728682170543,0.2857142857142857,0.4375,0.8292682926829267,0.7629629629629631,0.36933045356371486,0.5129469790382244,0.5,0.47222222222222215,0.4385633270321361,0.636604774535809,0.7153846153846154,0.5755813953488372,0.7499999999999999,0.7432432432432433,0.31465093411996065,0.33043478260869563,0.851851851851852,0.6666666666666666,0.31525076765609006,0.20092378752886836,0.7058823529411765,0.622549019607843,0.39559543230016314,0.3868974042027194,0.391304347826087,0.2608695652173913,0.4976897689768977,0.5203252032520326
2,Red,False,3,0.0,3.0,0.0,0.6451612903225806,0.9354838709677421,0.0967741935483871,0.4961290322580645,0.3548387096774194,0.2954838709677419,8.0,8.0,0.2258064516129032,0.03225806451612903,0.03225806451612903,0.4532258064516129,0.0967741935483871,0.06354838709677417,68.0,581.8709677419355,1.0,0.0,0.0,7.0,10.0,6.0,0.0,23.0,185.42,185.42,155.0,0.0,11.0,0.0,0.2,0.3333333333333333,0.13333333333333333,0.43,1.0,0.2773333333333333,11.0,1.0,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.34,0.06666666666666668,0.13133333333333336,33.0,604.4,2.0,0.0,1.0,3.0,3.0,6.0,1.0,14.0,180.34,193.04,155.0,36.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.7373949579831932,0.6249999999999999,0.6507177033492824,0.6046511627906976,0.45527217358203276,0.425947187141217,0.6900584795321636,0.8,0.3438245112064855,0.36802205375603037,0.8709677419354839,0.8155339805825242,0.48220818091120715,0.4461126005361931,0.31343283582089554,0.42857142857142866,0.5066874027993777,0.4766917293233083,0.663063063063063,0.5622119815668203,0.6934865900383141,0.2619047619047619,0.450209843571156,0.3535871156661787,0.5370370370370372,0.5753424657534246,0.3767286599904625,0.29642248722316866,0.816901408450704,0.7333333333333334,0.4734332425068119,0.36191762322754895,0.10769230769230768,0.23255813953488372,0.4958226221079691,0.3779373368146214
3,Blue,False,3,0.0,4.0,0.0,0.5,0.5,0.25,0.5499999999999999,0.25,0.2875,4.0,0.0,0.25,0.0,0.0,0.3375,0.0,0.0975,9.0,652.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,170.18,170.18,135.0,1.0,0.0,0.0,0.375,0.125,0.0,0.36625,0.0,0.10375,5.0,2.0,0.125,0.0,0.0,0.44625,0.0,0.0,20.0,690.25,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.0,162.56,172.72,135.0,26.0,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.8235294117647058,0.5616438356164384,0.8,0.7021276595744681,0.4452054794520548,0.3909415971394517,0.8076923076923077,0.625,0.46236559139784944,0.2981366459627329,0.8333333333333334,0.8846153846153846,0.5155963302752293,0.40939597315436244,0.5,0.2777777777777778,0.5605815831987075,0.4323748668796592,0.4897959183673469,0.6604938271604939,0.625,0.8181818181818182,0.2838196286472148,0.37333333333333335,0.7142857142857143,0.8571428571428571,0.2606060606060606,0.2633279483037157,0.5862068965517241,0.839622641509434,0.3112745098039216,0.4047350620067644,0.16666666666666666,0.0,0.3269689737470167,0.4245385450597177
4,Blue,False,3,0.0,1.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.43,0.0,0.0,8.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,180.34,185.42,250.0,1.0,0.0,0.0,0.5,0.25,0.0,0.545,0.0,0.0,3.0,1.0,0.25,0.75,0.0,0.3975,0.0,0.0,7.0,440.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,187.96,190.5,264.0,32.0,26.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.8529411764705882,0.8709677419354839,0.8,0.6590909090909091,0.2960199004975124,0.4876847290640394,0.0,1.0,0.24390243902439024,0.4482758620689655,1.0,0.8,0.3022113022113022,0.5220883534136547,0.0,0.0,0.30392156862745096,0.515748031496063,0.5529411764705883,0.76,1.0,0.7777777777777778,0.43658536585365854,0.38011695906432746,0.0,0.3548387096774194,0.3704918032786885,0.3236994219653179,0.9523809523809523,0.6818181818181818,0.43795620437956206,0.4090909090909091,0.0,0.0,0.43795620437956206,0.45867768595041325
5,Red,False,3,0.0,4.0,0.0,0.0,1.3333333333333333,0.16666666666666666,0.47,0.6666666666666666,0.25,4.0,2.0,0.0,1.5,0.16666666666666666,0.4266666666666666,0.0,0.14,18.0,886.5,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,165.1,162.56,115.0,0.0,4.0,0.0,0.0,7.75,0.0,0.6375,0.5,0.8175000000000001,4.0,0.0,0.0,0.0,0.5,0.54,0.75,0.0,8.0,540.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,165.1,167.64,115.0,33.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.6324786324786326,0.8571428571428571,0.6056338028169014,0.75,0.44847775175644033,0.37254901960784315,0.6944444444444445,0.8461538461538461,0.36209335219236205,0.6983240223463687,0.883211678832117,0.8888888888888888,0.4693028095733611,0.7370689655172413,0.39999999999999997,0.8181818181818182,0.5213442325158948,0.7931034482758621,0.611111111111111,0.75,0.7241379310344828,0.8571428571428571,0.40280210157618207,0.34782608695652173,0.6774193548387096,0.75,0.38269230769230755,0.5,0.7352941176470588,1.0,0.443939393939394,0.5777777777777777,0.19444444444444445,0.0,0.5221799746514576,0.6973684210526315
6,Red,False,3,0.0,3.0,0.0,0.4166666666666667,0.5833333333333334,0.08333333333333333,0.4991666666666667,0.6666666666666666,0.2333333333333333,4.0,4.0,0.0,0.08333333333333333,0.0,0.4025,0.0,0.19416666666666668,23.0,495.25,0.0,0.0,0.0,2.0,3.0,3.0,0.0,8.0,167.64,165.1,135.0,0.0,3.0,0.0,0.0,1.5,0.08333333333333333,0.49,0.75,0.4175,4.0,3.0,0.25,0.8333333333333334,0.08333333333333333,0.3058333333333333,0.08333333333333333,0.25166666666666665,32.0,750.6666666666665,0.0,0.0,0.0,5.0,1.0,3.0,0.0,9.0,170.18,180.34,135.0,32.0,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.4944444444444445,0.7251655629139071,0.5616438356164385,0.7916666666666669,0.4082433758586849,0.4052812858783009,0.6721311475409836,0.7305699481865285,0.36045056320400504,0.3703703703703703,0.6954022988505748,0.735632183908046,0.4319167389418908,0.5089285714285713,0.21212121212121213,0.328125,0.46266233766233755,0.6198795180722891,0.5506329113924051,0.5233644859813085,0.5,0.6956521739130435,0.4038772213247171,0.2532679738562091,0.7000000000000001,0.6363636363636365,0.36397748592870555,0.20537428023032633,0.8333333333333333,0.72,0.41085271317829447,0.3086770981507822,0.23076923076923078,0.48148148148148145,0.4214501510574019,0.469493278179938
7,Blue,False,3,1.0,0.0,0.0,0.0,0.25,0.25,0.5025,0.25,0.125,1.0,2.0,0.0,2.75,0.25,0.325,0.25,0.38,10.0,716.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,165.1,167.64,115.0,2.0,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.38,0.0,0.05555555555555555,3.0,4.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.4144444444444445,0.2222222222222222,0.2711111111111111,25.0,800.1111111111113,1.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,160.02,162.56,115.0,25.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.676923076923077,0.6960352422907492,0.6428571428571429,0.7540322580645163,0.37825059101654845,0.319543509272468,0.8333333333333334,0.7941176470588236,0.3156498673740053,0.313944817300522,0.8253968253968254,0.71551724137931,0.42574257425742573,0.39311163895486934,0.5,0.14285714285714285,0.5287009063444109,0.44976328248290365,0.56,0.5593220338983051,0.78125,0.6864864864864862,0.26732673267326734,0.38814691151919856,0.7368421052631579,0.9333333333333333,0.2611111111111111,0.3471241170534813,0.55,0.7602339181286549,0.3230769230769231,0.43347639484978534,0.36363636363636365,0.1627906976744186,0.4048964218455744,0.4795055302537412
8,Blue,False,3,0.0,1.0,0.0,0.5,0.0,0.0,0.42,0.0,0.165,2.0,1.0,0.0,0.0,0.0,0.4125,0.0,0.125,10.0,670.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,180.34,182.88,145.0,0.0,1.0,0.0,0.13333333333333333,0.6666666666666666,0.4,0.478,0.6666666666666666,0.3013333333333333,4.0,5.0,0.2,0.9333333333333332,0.0,0.402,0.4666666666666667,0.38,34.0,624.0666666666667,1.0,0.0,0.0,3.0,4.0,3.0,0.0,10.0,172.72,180.34,145.0,31.0,37.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6551724137931034,0.8079999999999998,0.2857142857142857,0.888888888888889,0.406,0.39066339066339073,0.5714285714285714,0.6730769230769231,0.3803680981595092,0.3323657474600871,0.8333333333333334,0.7264150943396227,0.4151291512915129,0.47173489278752434,0.3333333333333333,0.2857142857142858,0.4236983842010772,0.5441666666666667,0.6385542168674698,0.6444444444444444,0.42105263157894735,0.6875,0.4461538461538462,0.3552338530066815,0.0,0.8269230769230769,0.34615384615384615,0.34323040380047504,0.8043478260869565,0.7411764705882352,0.445440956651719,0.4133709981167608,0.25,0.5666666666666667,0.4488888888888889,0.5097744360902254
9,Red,False,3,0.0,1.0,0.0,0.2,0.1,0.1,0.48,0.0,0.25,1.0,6.0,0.0,1.0,0.0,0.362,0.2,0.364,26.0,763.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,160.02,162.56,115.0,0.0,3.0,0.0,0.0,0.0,0.0,0.4033333333333333,0.0,0.0,3.0,0.0,0.0,0.6666666666666666,0.0,0.32,0.0,0.11,9.0,900.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,165.1,160.02,115.0,34.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.7047244094488189,0.5714285714285714,0.7466666666666667,0.6874999999999999,0.4591246903385632,0.3997271487039565,0.7307692307692307,0.5,0.4182825484764543,0.3697347893915757,0.888,0.6399999999999998,0.5082079343365253,0.41222366710013014,0.37499999999999994,0.0,0.539622641509434,0.41815856777493604,0.5488215488215489,0.5312500000000002,0.5586854460093896,0.6,0.3091557669441142,0.3022813688212927,0.7058823529411765,0.4545454545454546,0.25886287625418064,0.26458333333333334,0.8416666666666667,0.9130434782608694,0.34048117154811713,0.3209876543209876,0.2553191489361702,0.3333333333333333,0.38446788111217645,0.403903903903904
